title,description,category,price,image_url,tags
Noise Cancelling Headphones,"Over-ear ANC, 30h battery life",Electronics,149.99,https://via.placeholder.com/400x300?text=Headphones,wireless|anc|audio
Bluetooth Speaker,"Portable speaker, deep bass, IPX7",Electronics,59.99,https://via.placeholder.com/400x300?text=Speaker,portable|battery
"4K Monitor 27""","27-inch 4K IPS, 144Hz, HDR10",Monitors,299.00,https://via.placeholder.com/400x300?text=Monitor,4k|ips|hdr
Mechanical Keyboard,"Hot-swap switches, RGB backlight",Peripherals,89.00,https://via.placeholder.com/400x300?text=Keyboard,mechanical|rgb
Ergonomic Office Chair,"Lumbar support, adjustable height",Furniture,199.00,https://via.placeholder.com/400x300?text=Chair,office|ergonomic
Running Shoes,Lightweight running shoes with responsive foam,Footwear,119.99,https://via.placeholder.com/400x300?text=Shoes,running|lightweight
Smartwatch Pro,"Heart-rate, GPS, 7-day battery",Wearables,249.50,https://via.placeholder.com/400x300?text=Smartwatch,gps|health|wearable
Espresso Machine,Compact espresso maker with milk frother,Kitchen,179.00,https://via.placeholder.com/400x300?text=Espresso,coffee|kitchen
Yoga Mat,"Non-slip, 6mm thick, eco-friendly",Fitness,29.99,https://via.placeholder.com/400x300?text=Yoga+Mat,fitness|yoga|eco
Wireless Charger,"Fast wireless charging pad, Qi compatible",Accessories,24.99,https://via.placeholder.com/400x300?text=Charger,charger|wireless
